lr,_step,val/iou,val/loss,_runtime,train/loss,val/overlay,val/dice,_timestamp,epoch
,39,,,2.616316767,,"{'path': 'media/images/val/overlay_39_c5e7e4a68deb81b54c33.png', 'sha256': 'c5e7e4a68deb81b54c33f891f919926990963b31efe14d9d71680d06eb20982c', 'size': 40402, 'height': 256, 'width': 256, '_type': 'image-file', 'format': 'png'}",,1777129186.2486503,20
0.001,40,0.7475363449366005,0.10502620805399837,2.616316767,0.08292134437800908,,0.8210486993193626,1777129437.793066,21
,41,,,2.616316767,,"{'_type': 'image-file', 'format': 'png', 'path': 'media/images/val/overlay_41_5bb5d92d31842a9947ec.png', 'sha256': '5bb5d92d31842a9947ec8258cb217fb28c245a84dc40e77518386b6d04e51173', 'size': 40571, 'height': 256, 'width': 256}",,1777129438.2826364,21
0.001,42,0.7398590183368435,0.10642870056822344,2.616316767,0.08434281547788561,,0.8180190308226479,1777129689.503858,22
,43,,,2.616316767,,"{'sha256': 'b11ce7c6455e4b8242c8c2897551dda0a44298905f547c1f65e444d319dd5ad9', 'size': 40296, 'height': 256, 'width': 256, '_type': 'image-file', 'format': 'png', 'path': 'media/images/val/overlay_43_b11ce7c6455e4b8242c8.png'}",,1777129689.9553525,22
0.001,44,0.7438329132618727,0.10456738143262488,2.616316767,0.0801101497987785,,0.821323714322514,1777129941.075469,23
,45,,,2.616316767,,"{'height': 256, 'width': 256, '_type': 'image-file', 'format': 'png', 'path': 'media/images/val/overlay_45_3c6c8c8746fb7d4cfb53.png', 'sha256': '3c6c8c8746fb7d4cfb533a699468265319f5e91c53cb3047b731d32c107b1b7f', 'size': 40450}",,1777129941.5260148,23
0.001,46,0.7487270928643368,0.1032149535258887,2.616316767,0.07979315275901823,,0.8261181105066229,1777130191.8196907,24
,47,,,2.616316767,,"{'width': 256, '_type': 'image-file', 'format': 'png', 'path': 'media/images/val/overlay_47_32bfe94106e86a3ef437.png', 'sha256': '32bfe94106e86a3ef437960bd65ebb0c7b95333509557bb8591b48704411588a', 'size': 40308, 'height': 256}",,1777130192.281597,24
0.0005,48,0.704583937233245,0.13143786091219495,2.616316767,0.0854397078226434,,0.7798708729721882,1777130443.6810133,25
,49,,,2.616316767,,"{'size': 40038, 'height': 256, 'width': 256, '_type': 'image-file', 'format': 'png', 'path': 'media/images/val/overlay_49_06c8207381673b3f69ee.png', 'sha256': '06c8207381673b3f69ee33a480364cd2b54e10be806df830116946d3dd24b414'}",,1777130444.1686742,25
